Topic,Question,BT Level
HashMap,Describe how HashMap works in Java.,Understand
HashMap,Mention the purpose of HashMap in Java.,Remember
Marker Interface,Construct a Java program that applies Marker Interface to process data.,Apply
Custom Exceptions,Design a Java program that integrates Custom Exceptions to solve a real-world problem.,Create
Functional Interfaces,Create a Java application that uses Functional Interfaces to manage data for a small system.,Create
Java I/O,Distinguish between correct and incorrect uses of Java I/O in Java with analysis.,Analyze
super Keyword,Implement super Keyword in Java with a working code example.,Apply
Loops,List the rules for using Loops in Java.,Remember
Multithreading,Evaluate the correctness and quality of a Java solution that uses Multithreading.,Evaluate
Byte Streams,Create a new Java class hierarchy that demonstrates Byte Streams.,Create
Stack,Summarize the role of Stack in Java programming.,Understand
Ternary Operator,Develop a Java program that uses Ternary Operator to handle a given scenario.,Apply
Runnable Interface,Explain the advantages of using Runnable Interface in Java.,Understand
Packages,Design and build a Java module that applies Packages effectively.,Create
Custom Exceptions,Explain the working of Custom Exceptions in Java in your own words.,Understand
Multithreading,Create a Java application that uses Multithreading to manage data for a small system.,Create
Arrays,Mention the purpose of Arrays in Java.,Remember
Functional Interfaces,Differentiate between Functional Interfaces and a related concept in Java.,Understand
Is-A Relationship,Justify whether Is-A Relationship is the best choice for a given Java programming problem.,Evaluate
super Keyword,Critically assess the advantages and limitations of super Keyword in Java.,Evaluate
Composition,Explain how Composition differs from its alternatives in Java.,Understand
Encapsulation,Show how Encapsulation can be used in a Java program to perform a task.,Apply
Stream API,Differentiate between Stream API and a related concept in Java.,Understand
Annotations,Break down the working of Annotations in Java and analyze each step.,Analyze
Annotations,Analyze a given Java code segment using Annotations and explain its behaviour.,Analyze
Throw and Throws,Apply the concept of Throw and Throws to complete a partially written Java program.,Apply
Deque,Explain the advantages of using Deque in Java.,Understand
Scanner Class,Name the types of Scanner Class available in Java.,Remember
Default Methods,Design a Java program that integrates Default Methods to solve a real-world problem.,Create
String Buffer and Builder,Examine the relationship between String Buffer and Builder and memory usage in Java.,Analyze
Custom Exceptions,Propose and implement an original Java solution using Custom Exceptions.,Create
Jagged Arrays,Write the general form of Jagged Arrays in Java.,Remember
Throw and Throws,"Determine whether Throw and Throws improves or harms the efficiency of a Java program, and justify.",Evaluate
JVM Architecture,Explain how JVM Architecture differs from its alternatives in Java.,Understand
Is-A Relationship,Analyze the output of a Java program that uses Is-A Relationship.,Analyze
Functional Interfaces,Develop a complete Java application that uses Functional Interfaces along with other concepts.,Create
Marker Interface,Name the types of Marker Interface available in Java.,Remember
Immutable Class,Evaluate the correctness and quality of a Java solution that uses Immutable Class.,Evaluate
Dynamic Binding,Construct a Java program that combines Dynamic Binding with exception handling to build a robust solution.,Create
Enum,Analyze the output of a Java program that uses Enum.,Analyze
Java Memory Model,Apply Java Memory Model to write a Java program that takes user input and produces output.,Apply
Default Methods,Differentiate between Default Methods and a related concept in Java.,Understand
Java Memory Model,Build a Java solution that uses Java Memory Model and explain your design choices.,Create
Math Class,Explain how Math Class differs from its alternatives in Java.,Understand
Bitwise Operators,Summarize the role of Bitwise Operators in Java programming.,Understand
Switch Statement,Apply Switch Statement to write a Java program that takes user input and produces output.,Apply
Functional Interfaces,Analyze how Functional Interfaces interacts with other features of Java.,Analyze
equals and hashCode,Recall the default value associated with equals and hashCode in Java.,Remember
Lambda Expressions,List the rules for using Lambda Expressions in Java.,Remember
Variables,Evaluate the effectiveness of using Variables in a Java application.,Evaluate
Type Casting,Identify the keyword used for Type Casting in Java.,Remember
Abstract Classes,"Recommend, with justification, when Abstract Classes should be used in Java.",Evaluate
Byte Streams,Evaluate two different approaches to implementing Byte Streams in Java and recommend one.,Evaluate
Control Statements,Build a Java solution that uses Control Statements and explain your design choices.,Create
Throw and Throws,Design a Java program that integrates Throw and Throws to solve a real-world problem.,Create
toString Method,Design a Java program using toString Method to model a real-life entity.,Create
Garbage Collection,What is Garbage Collection in Java?,Remember
Comparable and Comparator,Explain the concept of Comparable and Comparator in Java with an example.,Understand
ArrayList,What are the components of ArrayList in Java?,Remember
Variable Scope,Develop a complete Java application that uses Variable Scope along with other concepts.,Create
toString Method,Explain the concept of toString Method in Java with an example.,Understand
Is-A Relationship,"Recommend, with justification, when Is-A Relationship should be used in Java.",Evaluate
Methods,Compare Methods with a related concept in Java and analyze the differences.,Analyze
Encapsulation,Develop an innovative Java program that extends the usual use of Encapsulation.,Create
Abstract Classes,Devise a Java program that uses Abstract Classes to implement a custom feature.,Create
Dynamic Binding,Analyze a given Java code segment using Dynamic Binding and explain its behaviour.,Analyze
Composition,Analyze the time complexity of operations involving Composition in Java.,Analyze
Serialization,Implement Serialization in Java with a working code example.,Apply
Methods,Analyze the output of a Java program that uses Methods.,Analyze
Strings,List the key features of Strings in Java.,Remember
Method Overriding,Build a Java solution that uses Method Overriding and explain your design choices.,Create
Queue,Identify the keyword used for Queue in Java.,Remember
StringTokenizer,Explain the working of StringTokenizer in Java in your own words.,Understand
Wrapper Classes,Give reasons why Wrapper Classes is important in Java.,Understand
Exception Handling,Analyze why a Java program using Exception Handling may produce unexpected results.,Analyze
super Keyword,What are the components of super Keyword in Java?,Remember
Singleton Class,Write and execute a Java program illustrating Singleton Class.,Apply
